"No","En","Az","Tr","Ge","Ru","Ar"
"331","foci","odakları","fokus","ფოკუსი","фокусы","ֆոկուս"
"333","identity","özdeşlik","eynilik","იგივეობა","тождество","նույնականություն"
"334","incenter","iç merkez","orta nöqtə","ჩახაზული წრეწირი","стимулятор","գծված շրջան"
"335","inclined line","eğik çizgi","meylli xətt","დახრილი ხაზი","наклонная линия","թեք գիծ"
"338","double index","çifte dizin","ikiqat indeks","ორმაგი ინდექსი","двойной индекс","կրկնակի ինդեքս"
"339","subscript","alt simge","alr dərəcə","ქვედა ინდექსი","нижний индекс","Ներքին ինդեքս"
"340","superscript","üst simge","üst dərəcə","ზედა ინდექსი","надстрочный индекс","վերին ինդեքս"
"341","inequality","eşitsizlik","bərabərsizlik","უტოლობა","неравенство","անհավասարություն"
"342","equivalent","eşdeğer","ekvivalent, bərabərölçülü","ექვივალენტობა","эквивалентный","Համարժեքություն"
"343","plus","artı","plyus işarəsi","შეკრება","плюс","գումարած"
"344","indefinite","belirsiz","qeyri-müəyyən","განუსაზღვრელი","неопределенный","Անորոշ"
"345","definite","belirli","müəyyən","განსაზღვრული","определенный","Սահմանված"
"346","integration","entegrasyon","inteqrasiya (dəqiqləşdirmə)","ინტეგრება","интегрирование","ինտեգրում"
"347","interval","aralık","aralıq, interval","ინტერვალი","интервал","հեռավորություն"
"348","endpoints","bitiş noktası
noktası","son nöqtə","ბოლო წერტილი","конечные точки","վերջնակետ"
"349","closed interval","kapalı aralık","qapalı aralıq","ჩაკეტილი ინტერვალი","замнкнутый интервал","փակ միջակայք"
"350","open interval","açık aralık","açıq aralıq","ღია ინტერვალი","открытый интервал","բաց միջակայք"
"351","distributive law","dağılma yasası","paylama qanunu","განაწილების კანონი","распределительный закон","բաշխական օրենք"
"352","associative law","birleşme yasası","birləşmə, qruplaşdırma qanunu","ასოციაციურობის კანონი","ассоциативный закон","զուգորդական օրենք"
"353","commutative law","yer değiştirme yasası","yer dəyişdirmə qanunu","კომუტაციურობის კანონი","коммутативный закон","տեղափոխական օրենք"
"354","layer","tabaka","təbəqə","ფენა","слой","շերտ"
"356","positive","pozitif","müsbət","დადებითი","положительный","դրական"
"357","sequence","sınır, sira","ardıcıllıq","მიმდევრობა","последовательность","հաջորդականություն"
"359","line","çizgi","düz xətt","ხაზი","линия","գիծ"
"360","Intersecting","Kesişen","kəsişən","გადამკვეთი","Пересекающиеся","հատվող"
"361","secant","sekant","kəsən","მკვეთი","секущий","հատված"
"362","slope","eğim","eniş","დახრა","наклон","թեքություն"
"363","method","yöntem","metod","მეთოდი","метод","մեթոդ"
"364","Gauss method","Gauss yöntemi","Qauss üsulu","გაუსის მეთოდი","Метод Гаусса","Գաուսի մեթոդ"
"365","reduction","azalma","azalma","დაყვანა, რედუქცია","редукция","կրճատում"
"367","module","modül","modul","მოდული","модуль","մոդուլ"
"368","negative","negatif","mənfi","უარყოფითი","отрицательный","բացասական"
"369","the least common multiple (LCM)","sayıların en küçük ortak katı","ən kiçik ortaq bölünən (ƏKOB)","უმცირესი საერთო ჯერადი (უსჯ)","наименьшее общее кратное (НОК)","ամենափոքր ընդհանուր բազմապատիկ"
"371","even number","çift sayı","cüt ədəd","ლიუწი რიცხვი","чётное число","զույգ թիվ"
"372","rational","rasyonel","rasyonal","რაციონალური","рациональный","ռացիոնալ"
"373","real","gerçek","həqiqi","ნამდვილი","настоящий","Իրական"
"374","whole number","tam sayı","tam ədəd","მთელი რიცხვი","целое число","Ամբողջ թիվ"
"375","numerator","pay","sürət","მრიცხველი","числитель","հաշվիչ"
"376","operation","operasyon, işlem","əməliyyat","ოპერაცია","операция","գործողություն"
"377","root extraction","kök almak","kök almaq","ფესვის ამოღება","извлечение корня","արմատի վերացում"
"378","pertain","ait olmak","aid olmaq","ეკუთვნის","принадлежать","պատկանում է"
"379","order","düzen","quruluş","რიგი","порядок","շարք"
"380","rule","kural","qayda","წესი","правило","Կանոն"
"381","natural number","doğal sayı","natural ədəd","ნატურალური რიცხვი","натуральное число","Բնական թիվ"
"382","ordinate","ordinat","ordinat","ორდინატა","ордината","Օրդինատ"
"383","oval","oval","oval","ოვალი","овал","ձվաձեւ"
"385","parallelepiped","paralelyüz","paralelepiped","პარალელეპიპედი","параллелепипед","սեղան"
"387","parameter","parametre","parametr","პარამეტრი","параметр","պարամետր"
"388","example","örnek","misal, nümunə","მაგალითი","пример","օրինակ"
"389","parentheses","parantez","mötərizə","ფრჩხილები","скобки","փակագծեր"
"390","percent","yüzde"," faiz; faiz nisbəti","პროცენტი","процент","տոկոս"
"391","perimeter","çevre","perimetr","პერიმეტრი","периметр","պարագիծ"
"392","semiperimeter","yarı çevre","yarı perimetr","ნახევარპერიმეტრი","полупериметр","կիսապարագիծ"
"394","midperpendicular","orta dik","perpendikulyarın kəsişmə nöqtəsi","შუამართობი","среднеперпендикулярный","միջին ուղղահայաց"
"395","placements","yerleştirme","yerləşdirmə","განლაგება","размещение","դասավորություն"
"396","plane","düzlem","müstəvi","სიბრტყე","плоскость","Հարթություն"
"397","rectangular","dikdörtgen","düzbucaqlı","მართკუთხა","прямоугольный","Ուղղանկյուն"
"398","inflection point","dönüm noktası","əyilmə nöqtəsi","გადაღუნვის წერტილი","точка перегиба","Շրջադարձային կետ"
"399","interior point","iç nokta","daxili nöqtə","შიდა წერტილი","внутренняя точка","Ներքին կետ"
"400","point of gap","boşluk noktası","boşluq nöqtəsi","წყვეტის წერტილი","точка разрыва","Ընդմիջման կետ"
"401","singular point","tekil nokta","tək nöqtə","გადაგვარებული წერტილი","особая точка","եզակի կետ"
"402","stationary point","sabit nokta","sabit nöqtə","სტაციონარული წერტილი","стационарный точка","անշարժ կետ"
"403","polyhedron","çok yüzlü cisim, polihedron","düzgün çoxüzlülər","მრავალწახნაგა","многогранник","բազմանիստ"
"404","root degree","kök derecesi","kök dərəcəsi","ფესვის რიგი","степень корня","արմատային աստիճան"
"405","scalar product","skaler çarpım","skalar vurma","სკალარული გამრავლება","скалярное произведение","սկալյար արտադրյալ"
"407","arithmetic progression","Aritmetik ilerleme","ədədi silsilə","არითმეტიკული პროგრესია","Арифметическая прогрессия","թվաբանական պրոգրեսիա"
"408","geometric progression","geometrik ilerleme","həndəsi silsilə","გეომეტრიული პროგრესია","геометрическая прогрессия","երկրաչափական պրոգրեսիա"
"409","decreasing progression","azalan ilerleme","azalan silsilə","კლებადი პროგრესია","убывающая прогрессия","նվազող պրոգրեսիա"
"410","increasing progression","artan ilerleme","artan silsilə","ზრდადი პროგრესია","возврастающая прогрессия
Part of speech	Translation	Reverse translations	Frequency
help_outline
Adjective
возрастающая","աճող պրոգրեսիա"
"411","projection","eksen","proyeksiya","პროექცია","проекция","Պրոյեկցիա"
"412","unknown term","bilinmeyen terim","bilinməyən nəzəriyyə","უცნობი წევრი","неизвестный член","Անհայտ անդամ"
"413","proportionality","orantılılık","mütənasiblik","პროპორციულობა","пропорциональность","Համաչափություն"
"414","unique value","benzersiz değer","misilsiz dəyər","ერთადერთი მნიშვნელობა","единственное значение","Միակ իմաստ"
"415","quadrant","çeyrek","kvadrat","მეოთხედი, კვადრანტი","квадрант","Քառորդ"
"417","radian","radyan","radiyan","რადიანი","радиан","ռադիան"
"419","rectangle","dikdörtgen","düzbucaq","ოთხკუთხედი","прямоугольник","քառանկյուն"
"420","statistic","istatistik","statistika","სტატისტიკა","статистика","Վիճակագրություն"
"421","remainder","geri kalan kısım","qalıq","ნაშთი","остаток","մնացորդ"
"422","root","kök","kök","ფესვი","корень","արմատ"
"423","cube","küp","kub","კუბი","куб","Խորանարդ"
"424","scalar","sayısal, ölçek","skalar","მუდმივი, სკალარი","скаляр","Մշտական, սկալյար"
"425","time","zaman","vaxt, zaman","დრო","время","ժամանակ"
"426","temperature","sıcaklık","temperatura","ტემპერატურა","температура","ջերմաստիճան"
"427","density","yoğunluk","sıxlıq","სიმკვრივე","плотность","խտություն"
"428","mass","kütle","kütlə","მასა","масса","զանգված"
"429","secant","sekant","sekan","მკვეთი","секущий","հատող գիծ"
"430","midpoint","orta noktası","orta nöqtə","შუაწერტილი","середина","միջնակետ"
"432","union of sets","kümeler birliği","çoxluqların birləşməsi","სიმრავლეთა გაერთიანება","объединение множеств","բազմությունների միավորում"
"433","Intersection of sets","setlerin kesişimi","çoxluqların kəsişməsi","სიმრავლეთა თანაკვეთა","Пересечение множеств","բազմությունների հատում"
"434","open set","açık küme","açıq çoxluq","ღია სიმრავლე","открытое множество","բաց բազմություն"
"435","integers","tam sayı","tam ədəd","მთელი რიცხვები","целые числа","Ամբողջ թվեր"
"437","subset","alt küme","altçoxluq","ქვესიმრავლე","подмножество","Ենթաբազմություն"
"438","to belong","ait olmak","aid olmaq","ეკუთვნის","принадлежать","Պատկանում է"
"439","side","taraf","tərəf","გვერდი","сторона","Էջ"
"440","sign","işaret","işarət","ნიშანი","знак","Նշան"
"441","perpendicular sign","diklik işareti","şaqulilik işarəti","პერპენდიკულარობის ნიშანი","признак перпендикулярности","Ուղղահայացության նշան"
"442","sign of relations","ilişkilerin işaretleri","bölmə işarələri","მიმართების ნიშანი","знак отношений","հարաբերությունների նշան"
"443","sign of comparison","karşılaştırma işareti","bərabərsizlik işarəsi","შედარების ნიშანი","признак сравнения","Համեմատության նշան"
"444","hyperbolic sine","hiperbolik sinüs","hiperbolik sinus","ჰიპერბოლური სინუსი","гиперболический синус","Հիպերբոլիկ սինուս"
"445","sine","sinüs","sinus","სინუსი","синус","սինուս"
"446","theorem of sines","sinüs teoremi","sinus teoriyası","სინუსების თეორემა","теорема синусов","Սինուսների թեորեմ"
"447","sine wave","sinüs dalgası","sinus dalğası","სინუსური ტალღა","синусоидальная волна","Սինուսային ալիք"
"448","space","uzay","məkan","სივრცე","пространство","տարածություն"
"449","euclidean space","öklid uzayı","Evklid fəzası","ევკლიდური სივრცე","евклидово пространство","էվկլիդյան տարածություն"
"450","square meter","metre kare","kvadrat metr","კვადრატული მეტრი","квадратный метр","քառակուսի մետր"
"451","substitution","değiştirme","əvəzedici","ჩასმა, შეცვლა","замена","տեղադրում"
"452","subtraction","çıkartma","çıxma","გამოკლება","вычитание","հանում"
"453","tetrahedron","tetrahedron","tetraedr","ტეტრაედრი","тетраэдр","քառանիստ"
"454","Fermat's theorem","Fermat teoremi","Fermat teoremi","ფერმას თეორემა","Теорема Ферма","Ֆերմատի թեորեմ"
"455","theorem","teorem","teorem","თეორემა","теорема","թեորեմ"
"456","Pythagorean theorems","Pisagor teoremleri","Pifaqor teoriyası","პითაგორას თეორემა","Теорема пифагора","Պյութագորասի թեորեմ"
"457","transformation","dönüşüm","dəyişim","გარდაქმნა","преобразование","վերափոխում"
"458","isosceles trapezium","İkizkenar yamuk","bərabər yanlı trapesiya","ტოლფერდა ტრაპეცია","равнобедренная трапеция","հավասարասրուն սեղան"
"459","Curvilinear trapezoid","Eğrisel yamuk","əyrixətli trapesiya","მრუდწირა ტრაპეცია","Криволинейная трапеция","կոր սեղան"
"460","triangle of Pascal","Pascal Üçgeni","pasqal üçbucağı","პასკალის სამკუთხედი","треугольник Паскаля","Պասկալ եռանկյուն"
"461","isosceles","ikizkenar","bərabər yan","ტოლფერდა","равнобедренный","հավասարասրուն"
"462","acute-angled triangle","akut açılı üçgen","itibucaqlı üçbucaq","მახვილკუთხა სამკუთხედი","acute-angled triangle","սուրանկյուն եռանկյուն"
"463","scalene triangle","eşkenar olmayan üçgen","ixtiyari üçbucaq","სხვადასხვა კუთხა სამკუთხედი","остроугольный треугольник","Եռանկյան տարբեր անկյուններ"
"464","right triangle","düzgün üçgen","düzbucaqlı üçbucaq","მართკუთხა სამკუთხედი","прямоугольный треугольник","ուղղանկյուն եռանկյուն"
"465","obtuse-angled triangle","geniş açılı üçgen","kor bucaqlı üçbucaq","ბლაგვკუთხა სამკუთხედი","тупоугольный треугольник","բութանկյուն եռանկյուն"
"466","regular triangle","normal üçgen","bərabər tərəfli üçbucaq","ტოლგვერდა სამკუთხედი","правильный треугольник","հավասարակողմ եռանկյուն"
"467","equilateral triangle","eşkenar üçgen","bərabər tərəfli üçbucaq","ტოლგვერდა სამკუთხედი","равносторонний треугольник","հավասարակողմ եռանկյուն"
"468","random variable","Değişken değer","dəyişən qiymət","შემთხვევითი ცვლადი","случайная переменная","փոփոխական մեծություն"
"469","absolute value","mutlak değer","mütləq dəyər","აბსოლუტური მნიშვნელობა","абсолютная величина","բացարձակ արժեք"
"470","approximate value","yaklaşık değer","təxmini dəyər","მიახლოებითი მნიშვნელობა","приблизительное значение","մոտավոր արժեք"
"484","surd","rasyonel olmayan sayı","rasional olmayan ədəd","ირაციონალური რიცხვი","иррациональный","Իռացիոնալ թիվ"
"485","pentagon","beşgen","düzgün beşbucaqlı","ხუთკუთხედი","пятиугольник","հնգանկյուն"
"486","cardinal number","nicel sayı","kardinal ədəd","კარდინალური რიცხვი","кардинальное число","Կարդինալ համար"
"487","closed set","kapalı küme","bağlı çoxluq","ჩაკეტილი სიმრავლე","замнкнутое множество","փակ բազմություն"
"488","cuboid","dikdörtgenler prizması","düzbucaqlı paralelepiped","მართკუთხა პარალელეპიპედი","кубовид","Ուղղանկյուն զուգահեռագիծ"
"489","cusp","köşe noktası","bucaq nöqtəsi","ნისკარტი","куспид","գագաթ"
"490","decagon","ongen","onbucaqlı","ათკუთხედი","десятиугольник","տասնանկյուն"
"491","digit","rakam","rəqəm","ციფრი","цифра","թվանշան"
"492","dodecahedron","dodekaedr","dodekaedr","დოდეკაედრი, 12-კუთხა წესიერ მრავალკუთხედი","додекаэдр","տասներկուանիստ"
"493","frequency","frekans","tezlik","სიხშირე","частота","Հաճախականություն"
"494","helix","sarmal","spiral","სპირალი","спираль","Պարույր"
"495","hemisphere","yarım küre","yarımkürə","ნახევარსფერო","полушарие","կիսագունդ"
"496","heptagon","yedigen","yeddibucaqlı","შვიდკუთხედი","семиугольник","յոթանկյուն"
"497","hexagon","altıgen","altıbucaqlı","ექცსკუთხედი","шестиугольник","վեցանկյուն"
"498","icosahedron","	yirmiyüzlü","ikosaedr","წესიერი ოცწახნაგა, იკოსაედრი","икосаэдр","կանոնավոր քսանանիստ"
"499","imaginary number","sanal sayılar","xəyali ədədlər","წარმოსახვითი რიცხვი","мнимое число","Երևակայական թիվ"
"500","locus","gezenek","lokus","წერტილთა გეომეტრიული ადგილი","геометрическое место точек","Կետերի երկրաչափական տեղ"
"501","logarithm","logaritma","loqarifm","ლოგარითმი","логарифм","Լոգարիթմ"
"502","node","sürekli bir eğrinin kendisi ile kesiştiği nokta,","düyün","კვანძი","узел","հանգույց"
"503","nonagon","dokuzgen","doqquzbucaqlı","ცხრაკუთხედი","девятиугольник","ինանկյուն"
"504","prime number","asal sayı","sadə ədəd","მარტივი რიცხვი","простое число","պարզ թիվ"
"505","hyperbolic spiral","hiperbolik spiral","hiberbolik spiral","ჰიპერბოლური სპირალი","гиперболическая спираль","հիպերբոլիկ պարույր"
"506","reciprocal","sayının çarpmaya göre tersi","qarşılıqlı","შებრუნებული","взаимный","Շրջված"
"507","solid geometry","uzay geometri","stereometriya","სტერეომეტრია","стереометрия","Ստերեոմետրիա"
"508","width","en","eni","სიგანე","ширина","լայնություն"
"509","depth ","derinlik","dərinlik","სიღრმე","глубина","խորություն"
"510","strange attractor(a type of chaotic dynamical system)","değişik 	dinamik bir sistemde değişkenlerin evrimleşme eğiliminde olduğu değerler kümesi",,"უცნაური ატრაქტორი (ქაოსური დინამიური სისტემის ერთ-ერთი სახე)","странный аттрактор (разновидность хаотической динамической системы)","տարօրինակ գրավիչ"
"511","torus","simit (geometri)","tor (həndəsi fiqur)","ტორი","тор","տորուս"
"512","universal set","evrensel küme","universal çoxluq","უნივერსალური სიმრავლე","универсальный набор","ունիվերսալ հավաքածու"
"513","Venn diagram","Venn şeması","Venn diaqramı","ვენის დიაგრამა","Диаграмма Венна","Վենի դիագրամ"
"514","diagram","şema","diaqramı","დიაგრამა","диаграмма","դիագրամ"
"515","vulgar fraction","bayağı kesir","vulqar fraksiya","ჩვეულებრივი წილადი","простая дробь","Սովորական կոտորակ"
"516","zigzag","	zikzak","ziqzaq","ზიგზაგი","зигзаг","զիգզագ"
"517","dotted","noktalı","nöqtəli","პუნქტირი","пунктирный","Կետադրություն"
"518","parallel lines","paralel doğrular","paralel xəttlər","პარალელური წრფეები","параллельные линии","զուգահեռ գծեր"
"519","wavy","dalgalı","dalğalı","ტალღური","волнистый","ալիքաձև"
"520","brackets","köşeli ayraç","kvadrat mötərizə","კვადრატული ფრჩხილები","скобки","քառակուսային փակագծեր"
"521","braces (grouping)","küme parantezi","çoxluq mötərizəsi","ფიგურული ფრჩხილები","фигурные скобки","փակագծեր"
"522","summation","toplama","cəm","შეჯამება","суммирование","ամփոփում"
"523","exists, (∃)","vardır","mövcuddur","არსებობს","существует, (∃)","գոյություն ունի"
"524","therefore","	onun için, 	onyüzden","buna görə","მაშასადამე","следовательно","Հետեւաբար"
"525","empty set","boş küme","boş çoxluq","ცარიელი სიმრავლე","пустое множество","Դատարկ բազմություն"
"526","theta","teta","teta","თეტა","тета","թետա"
"527","homeomorphism","homeomorfizma","homeomorfluq","ჰომეომორფიზმი","гомеоморфизм","հոմեոմորֆիզմ"
"528","topological space","topolojik uzaylar","topoloji fəza","ტოპოლოგიური სივრცე","топологическое пространство","տոպոլոգիական տարածություն"
"529","limit of a sequence","dizinin limiti","ardıcıllığın həddi","მიმდევრობის ზღვარი","предел последовательности","հաջորդականության սահման"
"530","convergent","yakınsak","yaxınlaşan","კრებადი","сходящийся","ժողովածու"
"531","divergent","ıraksak","fərqli","განშლადი","расходящийся","տարբերվող"
"532","null sequence","sıfır dizisi","sıfır ardıcıllıq","ნულოვანი მიმდევრობა","нулевая последовательность","զրոյական հաջորդականություն"
"533","illustration","illüstrasyon","illüstrasiya","ილუსტრაცია","иллюстрация","իլյուստրացիա"
"534","positive integers","pozitif tamsayılar kümesi","müsbət tam ədədlər","დადებითი მთელი რიცხვი","положительные целые числа","դրական ամբողջ թվեր"
"535","order theory","sıra teorisi","sıra nəzəriyyəsi","დალაგების თეორია","теория упорядочения, порядка","Տեսակավորման տեսություն"
"536","finite set","sonlu küme","sonlu çoxluq","სასრული სიმრავლე","конечное множество","վերջավոր բազմություն"
"537","mathematical analysis","Matematiksel analiz","Riyazi analiz","მათემატიკური ანალიზი","математический анализ","մաթեմատիկական վերլուծություն"
"538","Fibonacci numbers","Fibonacci dizisi","Fibonaççi ədədləri","ფიბონაჩის რიცხვები","Числа Фибоначчи","Ֆիբոնաչիի թվեր"
"539","stream","akım",,"ნაკადი","поток","հոսք"
"540","string (computer science)","dize (bilgisayar bilimi",,"სიმი","струна (информатика)","լար"
"541","number theory","sayılar teorisi","ədədlər nəzəriyyəsi","რიცხვთა თეორია","теория чисел","թվերի տեսություն"
"542","infimum","infimum",,"ინფიმუმი, ზუსტი ქვედა საზღვარი","инфимум","ինֆիմում"
"543","supremum","eküs",,"სუპრემუმი, ზუსტი ზედა საზღვარი","супремум","գերագույն"
"545","holonomic function","holonomik fonksiyon","holonomik funksiya","ჰოლონომური ფუნქცია","голономная функция","հոլոնոմիկ գործառույթ"
"546","Taylor series","Taylor serisi","Teylor sırası","ტეილორის მწკრივი","ряд Тейлор","Թեյլորի շարք"
"547","codomain","değer kümesi",,"კოსახე","кообраз","Կոսախե"
"548","uncountable set","sayılamaz küme","saysız çoxluq","არათვლადი სიმრავლე","несчетное множество","անհաշվելի բազմություն"
"549","monotonic function","monoton fonksiyon, tekdüze işlev","artan funksiya","მონოტონური ფუნქცია","монотонная функция","միատոն ֆունկցիա"
"550","squeeze theorem","sıkıştırma teoremi","sıxlaşdırmaq teoriyası","რეკამანის მიმდევრობა","теорема сжатия","Վերականգնել հաջորդականություն"
"551","metric space","metrik uzay","metrix fəza","მეტრული სივრცე","метрическое пространство","մետրային տարածություն"
"552","complete metric space","tam metrik uzay","tam metrik fəza","სრული მეტრული სივრცე","полное метрическое пространство","ամբողջական մետրային տարածություն"
"553","pointwise","	noktasal","yönlü","წერტილოვანი","точечно","Կետավոր"
"554","norm","ortalama, norm","norma","ნორმა","norm","սահմանված կարգ"
"555","function space","fonksiyon uzayı","funksiya fəzası","ფუნქციათა სივრცე","функциональное пространство","ֆունկցիոնալ տարածք"
"556","Fréchet space","	frechet uzayı","Fréchet fəzası","ფრეშეს სივრცე","Пространство Фреше","Ֆրեշի տարածություն"
"557","pointwise convergence","	noktasal yakınsaklık","yönlü yaxınlaşma","წერტილოვანიზღვარი","поточечная сходимость","կետային կոնվերգենցիա"
"558","sequence space","dizi uzayı","sıra fəzası","მიმდევრობათა სივრცე","пространство последовательностей","հաջորդականության տարածություն"
"559","pointwise addition","noktasal toplama","yönlü toplama","წერტილოვანი შეკრება","точечное сложение","Կետերի հավաքածու"
"560","convergent sequence","yakınsak dizi","yaxınlaşan sıra","კრებადი მიმდევრობა","сходящаяся последовательность","Հավաքման հաջորդականություն"
"561","Banach space","Banach uzayı","Banach fəzası","ბანახის სივრცე","Банахово пространство","Բանախի տարածություն"
"562","Hölder's inequality","Hölder eşitsizliği","Hölderin bərabərsizliyi","ჰიოლდერის უტოლობა","Неравенство Гёльдера","Հոլդերի անհավասարություն"
"564","reflexive space","dönüşlü uzay","qayıdış fəzası","რეფლექსური სივრცე","Рефлексивное пространство","ռեֆլեքսիվ տարածություն"
"565","Hilbert spaces ","Hilbert uzayı","Hilbert fəzası","ჰილბერტის სივრცე","Гильбертово пространства","Հիլբերտի տարածություն"
"566","abuse of notation",,,"აღნიშნვების ბოროტად გამოყენება","злоупотребление обозначениями","Նշումների սխալ օգտագործում"
"567","Schauder basis","	schauder tabanı","schauder bazası, təməli","სოიდერის ბაზისი","Базис Ша́удера","Շաուդերի հիմք"
"568","weak topology","zayıf topoloji","zəif topologiya","სუსტი ტოპოლოგია","Слабая сходимость","թույլ տոպոլոգիա"
"570","dual space","dual uzay, eşlek uzay","ikili fəza","მეორედი სივრცე","Двойственное пространство","երկակի տարածություն"
"571","homomorphism","homomorfizma","homomorfizm","ჰომომორფიზმი","Гомоморфизм","հոմոմորֆիզմ"
"572","ring","halka","halqa","რგოლი","Кольцо","մատանի"
"573","isomorphism","izomorfizma","izomorfluq","იზომორფიზმი","Изоморфизм","իզոմորֆիզմ"
"574","morphism","morfizma","morfizm","მორფიზმი","морфизм","մորֆիզմ"
"575","bijection","birebir örten fonksiyon"," biyektiv","ბიექცია","Биекция","բիեկցիա"
"576","inverse function","ters fonksiyon","Tərs funksiya","შებრუნებული ფუნქცია","inverse function","հակադարձ ֆունկցիա"
"577","injective function","birebir fonksiyon","inyektiv","ინექციური ფუნქცია","инъективная функция","Ներարկման ֆունկցիա"
"578","surjective function","örten fonksiyon","süryektiv funksiya","სიურექციული ფუნქცია","сюръективная функция","սուբյեկտիվ ֆունկցիա"
"579","endomorphism","	endomorfizm,özyapı dönüşümü","endomorfizm","ენდომორფიზმი","эндоморфизм","էնդոմորֆիզմ"
"580","associative property","birleşme özelliği (ikili işlemler)","assosiativlik xassəsi","ასოციაციურობის თვისება","ассоциативное свойство","ասոցիատիվ հատկություն"
"581","automorphism","otomorfizm","avtomorfizm","ავტომორფიზმი","автоморфизм","ավտոմորֆիզմ"
"582","monomorphism","monomorfizm","monomorfizm","მონომორფიზმი","мономорфизм","մոնոմորֆիզմ"
"583","epimorphism","	epimorfizm","epimorfizm","ეპიმორფიზმი","эпиморфизм","էպիմորֆիզմ"
"584","associative property of addition","toplamanın birleşme özelliği","cəmin assosiativlik xassəsi","შეკრების ასოციაციურობა","ассоциативное свойство сложения","համախմբման ասոցիացիա"
"585","field","cisim","meydan","ველი","поле","դաշտ"
"586","group","grup","qrup","ჯგუფი","группа","խումբ"
"587","Lie group","lie grubu","lie qrupu","ლის ჯგუფი","Группа Ли","Լի խումբ"
"588","monoid","birlik","monoid","მონოიდი","моноид","Մոնոիդ"
"589","binary operation","İkili işlem","ikili əməliyyat","ბინარული ოპერაცია","бинарная операция","երկուական գործողություն"
"590","semigroup","yarı öbek","yarımqrup","ნახევარჯგუფი","полугруппа","կիսախումբ"
"591","algebraic structure","cebirsel yapı","cəbri quruluş","ალგებრული სტრუქტურა","алгебраическая структура","հանրահաշվական կառուցվածք"
"592","abelian group","abelyen grup","abeli qrupu","აბელური ჯგუფი","абелева группа","աբելյան խումբ"
"593","abstract algebra","soyut cebir","abstrakt cəbr","აბსტრაქტული ალგებრა","абстрактная алгебра","վերացական հանրահաշիվ"
"594","quasigroup","quasigrup","kvaziqrup","კვაზიჯგუფი","Квазигруппа","քվազի խումբ"
"595","identity element","birim öğe",,"იგივური ელემენტი","единичный элемент","ինքնության տարր"
"596","knot","düğüm","düyün","კვანძი","узел","Հանգույց"
"597","antisymmetry","antisimetri","antisimmetriya","ანტისიმეტრია","антисимметрия","հակասիմետրիա"
"598","group theory","grup teorisi","qrup nəzəriyyəsi","ჯგუფთა თეორია","теория групп","խմբի տեսություն"
"599","subgroup","altöbek","altqrup","ქვეჯგუფი","подгруппа","ենթախումբ"
"600","module homomorphism","module homomorfizması","modul homomorfizmi","მოდულური ჰომომორფიზმი","модульный гомоморфизм","մոդուլի հոմոմորֆիզմ"
"601","category theory","kategori teorisi","kateqoriya nəzəriyyəsi","კატეგორიათა თეორია","теория категорий","կատեգորիայի տեսություն"
"603","adjoint functors",,,"შეუღლებული ფუნქტორი","сопряжённые функторы","հարակից գործառույթ"
"605","axiomatic set theory","aksiyomatik küme teorisi","aksiomatik çoxluq nəzəriyyəsi","სიმრავლეთა აქსიომატური თეორია","аксиоматическая теория множеств","աքսիոմատիկ բազմությունների տեսություն"
"606","set theory","kümeler teorisi","çoxluqlar nəzəriyyəsi","სიმრავლეთა თეორია","аксиоматическая теория множеств","բազմությունների տեսություն"
"607","functional analysis","fonksiyonel analiz","funksional analiz","ფუნქციონალური ანალიზი","функциональный анализ","ֆունկցիոնալ վերլուծություն"
"608","Fourier transform","Fourier dönüşümü","Furye çevrilməsi","ფურიეს გარდაქმნა","преобразование Фурье","Ֆուրիեի փոխակերպում"
"609","Riemann integral","Riemann integrali","Rieman inteqralı","რიმანის ინტეგრალი","Riemann integral","Ռիմանի ինտեգրալ"
"610","heat equation","ısı denklemi","istilik tənliyi","სითბოს განტოლება","уравнение теплопроводности","ջերմային հավասարում"
"611","Gaussian function","Gauss fonksiyonu","Gauss funksiyası","გაუსის ფუნქცია","Функция Гаусса","Գաուսի ֆունկցիա"
"612","Peano axioms","Peano aksiyomları","Peano aksiomları","პეანოს აქსიამა","Аксиомы Пеано","Պյանոյի աքսիոմներ"
"613","Pythagorean triple","Pisagor üçlüsü","Pifagor üçlüsü","პითაგორას სამეული","Пифагорейская тройка","Պյութագորաս եռյակ"
"615","Diophantine equation","Diyofantus denklemi","Diofant tənliyi","დიოფანტური განტოლება","Диофантово уравнение","Դիոֆանտինի հավասարում"
"616","Euclidean algorithm","Öklid algoritması","Evklid alqoritmi","ევკლიდეს ალგორითმი","алгоритм Евклида","Էվկլիդեսյան ալգորիթմ"
"617","amicable numbers","bağdaşık sayılar",,"მეგობრული რიცხვები","дружественные числа","ընկերական համարներ"
"619","affine space","affin uzayı","affin fəzası","აფინური სივრცე","аффинное пространство","հարաբերական տարածություն"
"620","function composition","bileşke fonksiyon","mürəkkəb funksiya","ფუნქციათა კომპოზიცია","композиция функций","ֆունկցիայի կազմ"
"621","modular group","modüler, ölçken grup","modul qrupu","მოდულარული ჯგუფი","модулярная группа","մոդուլային խումբ"
"622","Möbius transformation","Möbius dönüşümü","Möbius transformasiyası","მიობიუსის გარდაქმნა","Преобразование Мёбиуса","Միոբիուսի փոխակերպում"
